"year","Region","latitude","longitude","Elevation","VEI"
1800,"Java_Guntur",-7.13,107.83,2249,NA
1800,"Luzon-Philippines_Mayon",13.257,123.685,2462,2
1800,"Africa-E_Kieyo",-9.23,33.78,2175,2
1800,"US-Washington_St. Helens",46.2,-122.18,2549,5
1800,"Hawaiian Is_Hualalai",19.692,-155.87,2523,0
1801,"Honshu-Japan_Chokai",39.08,140.03,2237,2
1803,"Honshu-Japan_Asama",36.4,138.53,2560,2
1803,"Honshu-Japan_Asama",36.4,138.53,2560,2
1804,"Hokkaido-Japan_Shikotsu",42.7,141.33,1320,3
1805,"Italy_Vesuvius",40.821,14.426,1281,2
1812,"W Indies_Soufriere St. Vincent",13.33,-61.18,1220,4
1812,"Sangihe Is-Indonesia_Awu",3.67,125.5,1320,3
1813,"Italy_Vesuvius",40.821,14.426,1281,2
1814,"Luzon-Philippines_Mayon",13.257,123.685,2462,4
1815,"Lesser Sunda Is_Tambora",-8.25,118,2850,7
1816,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1817,"Java_Ijen",-8.058,114.242,2799,2
1817,"Java_Raung",-8.125,114.042,3332,4
1818,"Mexico_Colima",19.514,-103.62,3850,4
1819,"Mariana Is-C Pacific_Asuncion",19.67,145.4,857,NA
1820,"Aleutian Is_Westdahl",54.52,-164.65,1654,2
1820,"Banda Sea_Banda Api",-4.525,129.871,640,2
1822,"Hokkaido-Japan_Usu",42.53,140.83,731,4
1822,"Java_Galunggung",-7.25,108.05,2168,5
1822,"Java_Merapi",-7.542,110.442,2947,3
1823,"Hawaiian Is_Kilauea",19.425,-155.292,1222,0
1824,"Aleutian Is_Shishaldin",54.75,-163.97,2857,3
1825,"Bougainville-SW Paci_Balbi",-5.83,154.98,2715,NA
1826,"Java_Dieng Volc Complex",-7.2,109.92,2565,2
1826,"Java_Kelut",-7.93,112.308,1731,3
1826,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1827,"Kamchatka_Avachinsky",53.255,158.83,2741,2
1827,"Kamchatka_Avachinsky",53.255,158.83,2741,2
1829,"Java_Guntur",-7.13,107.83,2249,2
1832,"Italy_Etna",37.734,15.004,3350,2
1832,"Java_Merapi",-7.542,110.442,2947,3
1833,"Sumatra_Kaba",-3.52,102.62,1952,2
1835,"Nicaragua_Cosiguina",12.98,-87.57,872,5
1835,"Banda Sea_Banda Api",-4.525,129.871,640,NA
1837,"Sumatra_Peuet Sague",4.914,96.329,2801,NA
1838,"Halmahera-Indonesia_Gamalama",0.8,127.325,1715,2
1839,"Chile-Is_Unnamed",-33.62,-76.83,-642,2
