Year,Name,Location,Latitude,Longitude,Elevation,VEI
1800,Guntur,Java,-7.13,107.83,2249,
1800,Mayon,Luzon-Philippines,13.257,123.685,2462,2
1800,Kieyo,Africa-E,-9.23,33.78,2175,2
1800,St. Helens,US-Washington,46.2,-122.18,2549,5
1800,Hualalai,Hawaiian Is,19.692,-155.87,2523,0
1801,Chokai,Honshu-Japan,39.08,140.03,2237,2
1803,Asama,Honshu-Japan,36.4,138.53,2560,2
1803,Asama,Honshu-Japan,36.4,138.53,2560,2
1804,Shikotsu,Hokkaido-Japan,42.7,141.33,1320,3
1805,Vesuvius,Italy,40.821,14.426,1281,2
1812,Soufriere St. Vincent,W Indies,13.33,-61.18,1220,4
1812,Awu,Sangihe Is-Indonesia,3.67,125.5,1320,3
1813,Vesuvius,Italy,40.821,14.426,1281,2
1814,Mayon,Luzon-Philippines,13.257,123.685,2462,4
1815,Tambora,Lesser Sunda Is,-8.25,118,2850,7
1816,Aso,Kyushu-Japan,32.88,131.1,1592,2
1817,Ijen,Java,-8.058,114.242,2799,2
1817,Raung,Java,-8.125,114.042,3332,4
1818,Colima,Mexico,19.514,-103.62,3850,4
1819,Asuncion,Mariana Is-C Pacific,19.67,145.4,857,
1820,Westdahl,Aleutian Is,54.52,-164.65,1654,2
1820,Banda Api,Banda Sea,-4.525,129.871,640,2
1822,Usu,Hokkaido-Japan,42.53,140.83,731,4
1822,Galunggung,Java,-7.25,108.05,2168,5
1822,Merapi,Java,-7.542,110.442,2947,3
1823,Kilauea,Hawaiian Is,19.425,-155.292,1222,0
1824,Shishaldin,Aleutian Is,54.75,-163.97,2857,3
1825,Balbi,Bougainville-SW Paci,-5.83,154.98,2715,
1826,Dieng Volc Complex,Java,-7.2,109.92,2565,2
1826,Kelut,Java,-7.93,112.308,1731,3
1826,Aso,Kyushu-Japan,32.88,131.1,1592,2
1827,Avachinsky,Kamchatka,53.255,158.83,2741,2
1827,Avachinsky,Kamchatka,53.255,158.83,2741,2
1829,Guntur,Java,-7.13,107.83,2249,2
1832,Etna,Italy,37.734,15.004,3350,2
1832,Merapi,Java,-7.542,110.442,2947,3
1833,Kaba,Sumatra,-3.52,102.62,1952,2
1835,Cosiguina,Nicaragua,12.98,-87.57,872,5
1835,Banda Api,Banda Sea,-4.525,129.871,640,
1837,Peuet Sague,Sumatra,4.914,96.329,2801,
